event_date	event_type	name	isin	rating	coupon_pct	price_pct	price_source	current_face	nkd_rub	dirty_rub	days_to_event	simple_yield_pct	effective_xirr_pct	moex_yield_pct	maturity	put_date	put_price_pct	amortization_count	estimated_coupon_count	call_dates_ignored	unknown_offer_dates_ignored	num_trades	value_today
2027-03-01	MATURITY	Селигдар 001Р-02	RU000A10B1X2	A+	24.0	104.3	OFFER	1000.0	9.86	1052.86	165	13.7661	15.0779	15.13	2027-03-01			1	0	[]	[]	437	6744003
2027-03-02	MATURITY	Ростелеком ПАО 001P-15R	RU000A10B214	AAA	18.75	102.34	OFFER	1000.0	7.19	1030.59	166	13.2002	14.2695	14.27	2027-03-02			1	0	[]	[]	266	3570595
2027-03-03	PUT	АФК Система БО 001P-23	RU000A104693	A+	17.5	99.9	OFFER	1000.0	9.59	1008.59	167	17.0479	18.3322	18.94	2031-11-21	2027-03-03	100.0	0	0	[]	[]	18	69896
2027-03-03	PUT	Мобильные ТелеСистемы 002P-07	RU000A10B1N3	AAA	14.6	100.76	OFFER	1000.0	6.4	1014.0	167	12.5016	13.3811	13.67	2028-02-23	2027-03-03	100.0	0	0	[]	[]	188	4911922
2027-03-04	MATURITY	ВИС ФИНАНС БО-П08	RU000A10B2T8	A+	24.0	104.1	OFFER	1000.0	7.89	1048.89	168	14.3938	15.7699	15.77	2027-03-04			1	0	[]	[]	393	4338784
2027-03-04	MATURITY	ХК Новотранс 001P-05	RU000A107W06	AA-	14.25	99.68	OFFER	1000.0	5.47	1002.27	168	11.0596	16.1129	16.11	2027-03-04			2	0	[]	[]	238	6392849
2027-03-06	MATURITY	Банк ВТБ (ПАО) Б-1-272	RU000A1043S2	NR	0.01	99.5	OFFER	1000.0	0	995.0	170	1.0876	1.0908	0.0	2027-03-06			1	1	[]	["2027-03-06"]	0	0
2027-03-06	MATURITY	Рекорд Трейд БО-01	RU000A1082M3	B	20.0	88.44	OFFER	1000.0	5.48	889.88	170	50.3686	60.4005	60.36	2027-03-06			1	0	[]	[]	175	1095614
2027-03-07	MATURITY	Группа ЛСР ПАО БО 001Р-09	RU000A1082X0	A	14.75	100.26	OFFER	1000.0	3.64	1006.24	171	14.1022	15.1231	15.55	2027-03-07			1	0	[]	[]	183	3851315
2027-03-07	MATURITY	Новые технологии БO-03	RU000A1082W2	A-	18.1	101.49	OFFER	1000.0	4.46	1019.36	171	14.641	15.8358	15.81	2027-03-07			1	0	[]	[]	81	1022277
2027-03-09	MATURITY	Банк ВТБ (ПАО) Б-1-302	RU000A104DN3	NR	0.01	100.85	PREV/LAST FALLBACK	1000.0	0	1008.5	173	-1.7678	-1.7596	0.0	2027-03-09			1	0	[]	["2027-03-09"]	0	0
2027-03-09	PUT	Баррель БО-01	RU000A10B2U6	B+	27.0	70.87	OFFER	1000.0	8.88	717.58	173	122.1828	179.7838	181.8	2028-02-27	2027-03-09	100.0	0	0	[]	[]	650	2467666
2027-03-09	MATURITY	МФК ВЭББАНКИР 04	RU000A106Y88	BB	15.0	98.69	OFFER	500.2	1.44	495.0874	173	11.3836	22.038	22.04	2027-03-09			6	0	[]	[]	16	305467
2027-03-09	PUT	Росинтер Холдинг БО-01	RU000A10CM14	B	25.5	82.92	OFFER	1000.0	13.97	843.17	173	71.0615	89.2378	93.47	2028-08-25	2027-03-09	100.0	0	0	[]	["2027-03-10"]	106	337210
2027-03-10	MATURITY	Банк ВТБ (ПАО) Б-1-273	RU000A1043T0	NR	0.01	98.0	OFFER	1000.0	0	980.0	174	4.2896	4.3378	0.0	2027-03-10			1	0	[]	["2027-03-10"]	0	0
2027-03-11	PUT	МФК ВЭББАНКИР 06	RU000A1082K7	BB	20.0	99.93	OFFER	1000.0	5.48	1004.78	175	15.2176	21.748	22.17	2027-09-02	2027-03-11	100.0	6	0	[]	[]	43	709548
2027-03-11	PUT	Мобильные ТелеСистемы 001P-29	RU000A10CQ85	AAA	14.0	100.02	OFFER	1000.0	3.84	1004.04	175	13.5067	14.4468	14.89	2030-08-17	2027-03-11	100.0	0	0	[]	[]	138	600677
2027-03-11	PUT	Ростелеком ПАО 001P-04R	RU000A0ZYYE3	AAA	14.0	100.0	OFFER	1000.0	4.99	1004.99	175	13.4525	13.9577	14.47	2028-03-03	2027-03-11	100.0	0	0	[]	[]	20	7554892
2027-03-12	PUT	Айдеко БО-01	RU000A10CM71	BB-	27.0	101.34	OFFER	1000.0	11.84	1025.24	176	20.4263	24.461	25.88	2028-08-29	2027-03-12	100.0	2	0	[]	[]	117	869091
2027-03-14	MATURITY	"Сэтл-Групп" ООО БО 002P-03	RU000A1084B2	A-	17.0	100.6	OFFER	1000.0	0.93	1006.93	178	15.6583	16.8936	16.45	2027-03-14			1	0	[]	[]	735	4162031
2027-03-15	PUT	Группа компаний Медси 001P-02	RU000A105YB1	AA	13.0	99.52	OFFER	1000.0	2.49	997.69	179	13.7202	14.4646	14.78	2038-02-25	2027-03-15	100.0	0	0	[]	[]	40	2415678
2027-03-15	MATURITY	РЖД ОАО БО 001Р-20R	RU000A101M04	AAA	7.35	97.2	OFFER	1000.0	30.81	1002.81	179	13.0239	13.8933	13.89	2027-03-15			1	0	[]	[]	136	4929756
2027-03-16	PUT	ЛК Роделен БО 001Р-04	RU000A105SK4	BBB	20.0	98.37	OFFER	533.8	1.46	526.5591	180	19.9023	26.6131	27.11	2028-01-05	2027-03-16	100.0	6	0	[]	[]	114	653520
2027-03-17	PUT	ИКС 5 ФИНАНС 003P-11	RU000A10AT35	AAA	17.25	101.78	OFFER	1000.0	0.95	1018.75	181	13.1298	14.0809	14.39	2035-03-02	2027-03-17	100.0	0	0	[]	[]	138	8459518
2027-03-19	MATURITY	Аэрофьюэлз-002Р-04	RU000A10B3S8	A	24.75	103.47	OFFER	1000.0	61.03	1095.73	183	16.2733	18.5398	18.49	2027-03-19			1	0	[]	[]	855	4171611
2027-03-19	MATURITY	Банк ВТБ (ПАО) Б-1-304	RU000A104DQ6	NR	0.01	101.57	PREV/LAST FALLBACK	1000.0	0	1015.7	183	-3.0634	-3.0401	0.0	2027-03-19			1	0	[]	["2027-03-19"]	0	0
2027-03-19	MATURITY	СберИОС 001Р-614R 3Y PLZL	RU000A1080T2	NR	0.01	168.3	PREV/LAST FALLBACK	1000.0	0	1683.0	183	-80.931	-64.5877	0.0	2027-03-19			1	0	[]	[]	0	0
2027-03-22	MATURITY	Почта России (АО) БО-04	RU000A0JXMP0	NR	14.2	114.93	OFFER	1000.0	69.25	1218.55	186	-12.3889	-12.7129	-12.79	2027-03-22			1	0	[]	[]	4	6599
2027-03-23	MATURITY	Банк ВТБ (ПАО) Б-1-303	RU000A104DP8	NR	0.01	101.48	OFFER	1000.0	0	1014.8	187	-2.8274	-2.808	0.0	2027-03-23			1	0	[]	["2027-03-23"]	0	0
2027-03-24	MATURITY	АФК Система БО 002Р-03	RU000A10BY94	A+	21.5	102.48	OFFER	1000.0	12.96	1037.76	188	16.0762	17.7381	17.83	2027-03-24			1	0	[]	[]	1379	19522701
2027-03-24	MATURITY	МФК Быстроденьги 002Р-03	RU000A1070G0	BB	15.0	98.79	OFFER	1000.0	9.04	996.94	188	11.6399	20.7343	21.25	2027-03-24			4	0	[]	[]	23	944794
2027-03-24	MATURITY	СберИОС 001Р-689R 2Г BSKRUS	RU000A10AZU3	NR	0.01	98.01	OFFER	1000.0	0	980.1	188	3.9559	3.9939	0.0	2027-03-24			1	0	[]	[]	0	0
2027-03-26	MATURITY	АФК "Система" ПАО БО-001P-06	RU000A0JXN21	A+	10.5	97.87	OFFER	1000.0	50.05	1028.75	190	14.1864	15.4443	15.44	2027-03-26			1	0	[]	[]	88	516649
2027-03-26	MATURITY	СЕРГИЕВСКОЕ БО-01	RU000A1084N7	BB-	20.0	98.06	OFFER	750.0	34.11	769.56	190	13.7896	30.8047	32.13	2027-03-26			3	0	[]	[]	19	69750
2027-03-26	MATURITY	СберИОС 001Р-782R 1Г ОФЗ ДИС	RU000A10EF94	NR	0.01	102.78	OFFER	1000.0	0	1027.8	190	-5.1774	-5.1131	0.0	2027-03-26			1	0	[]	[]	0	0
2027-03-28	MATURITY	Брусника 002Р-02	RU000A107UU5	A-	21.0	100.58	OFFER	750.0	10.79	765.14	192	9.5358	20.4499	20.82	2027-03-28			3	0	[]	[]	411	4680891
